Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Freq,Fx_LPF,Fy_LPF,Fz_LPF,Mx_LPF,My_LPF,Mz_LPF,
0,6,12,50,,,1.799444,-93.814355,-5.880180,-242.931570,0.055130,-0.137378,0.002148,
0,6,12,60,,,2.192982,-77.609623,-7.222970,-255.402294,0.056937,-0.153095,0.009838,
0,6,12,70,,,2.519638,-62.986719,-8.102686,-266.360226,0.054140,-0.166988,0.013359,
0,6,12,80,,,2.767345,-53.984692,-8.317242,-272.534393,0.065923,-0.169448,0.016824,
0,6,12,90,,,2.979601,-45.488168,-2.797269,-272.407902,0.086859,-0.159427,0.005570,
0,8,4,0,,,0.461042,-165.150378,4.274554,-134.725716,0.166097,-0.094037,0.005244,
0,8,8,0,,,0.431965,-190.948364,7.412242,-253.118297,0.206034,-0.167544,0.012253,
0,8,12,0,,,0.411692,-200.816549,4.236307,-407.812357,0.159783,-0.253343,0.012395,
0,8,16,0,,,0.259403,-202.318522,-0.241946,-550.219497,0.130831,-0.333151,0.010464,
0,8,4,50,,,1.913265,-125.066077,7.395987,-209.809498,0.117394,-0.144843,-0.002310,
0,8,4,60,,,2.346147,-115.359491,7.823244,-233.912365,0.111566,-0.165733,0.000731,
0,8,4,70,,,2.653023,-107.589629,7.467398,-249.384149,0.098782,-0.177245,0.006283,
0,8,4,80,,,2.931229,-98.287565,5.827265,-268.909826,0.106735,-0.186203,0.003728,
0,8,4,90,,,3.167230,-93.258359,15.286086,-272.323145,0.135243,-0.183818,-0.014384,
0,8,8,50,,,1.773948,-148.856809,7.301935,-294.952763,0.124853,-0.193880,-0.005204,
0,8,8,60,,,2.197802,-138.090114,6.021904,-318.503198,0.112802,-0.210501,-0.002228,
0,8,8,70,,,2.549720,-130.210818,3.812786,-331.324939,0.105680,-0.215763,0.003737,
0,8,8,80,,,2.863051,-123.809581,11.187943,-340.523548,0.105195,-0.222620,-0.011358,
0,8,8,90,,,3.111872,-116.329491,3.253305,-344.403679,0.114650,-0.211230,-0.007589,
