alpha,Fx_LPF,Fz_LPF,My_LPF
0,-0.440631,-2.358476,-0.000009
1,-10.599387,-3.799769,0.008235
2,-20.879815,-6.289245,0.016149
3,-32.282063,-6.181435,0.024369
4,-42.892833,-7.247089,0.032285
5,-54.29644,-9.078801,0.04007
6,-64.950581,-10.894528,0.047579
7,-75.337335,-12.594804,0.055268
8,-86.173338,-14.5844,0.062647
9,-96.881473,-16.721649,0.069959
10,-108.793751,-18.557613,0.076922
11,-119.274144,-21.205964,0.08416
12,-129.550793,-23.057219,0.091085
13,-140.159782,-26.421106,0.097916
14,-149.68501,-29.988544,0.10458
15,-161.069127,-32.0858,0.110932
16,-170.828122,-36.262813,0.117826
17,-182.081438,-37.7824,0.123712
18,-191.947758,-41.521463,0.130061
